Sample in Buffer,Sample in Window,TRIGGER,block_design_i/system_ila_1/inst/probe0_1,block_design_i/system_ila_1/inst/probe1_1,block_design_i/system_ila_1/inst/probe2_1[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,UNSIGNED
436,436,0,1,0,7550
437,437,0,1,0,2149
438,438,0,1,0,6789
439,439,0,1,0,13446
440,440,0,1,0,11797
441,441,0,1,0,4047
442,442,0,1,0,3153
443,443,0,1,0,10447
444,444,0,1,0,13887
445,445,0,1,0,8324
446,446,0,1,0,2231
447,447,0,1,0,6082
448,448,0,1,0,13117
449,449,0,1,0,12319
450,450,0,1,0,4653
451,451,0,1,0,2759
452,452,0,1,0,9730
453,453,0,1,0,13982
454,454,0,1,0,9090
455,455,0,1,0,2417
456,456,0,1,0,5372
457,457,0,1,0,12713
458,458,0,1,0,12783
459,459,0,1,0,5322
460,460,0,1,0,2484
461,461,0,1,0,8998
462,462,0,1,0,13965
463,463,0,1,0,9821
464,464,0,1,0,2686
465,465,0,1,0,4734
466,466,0,1,0,12239
467,467,0,1,0,13198
468,468,0,1,0,6024
469,469,0,1,0,2276
470,470,0,1,0,8265
471,471,0,1,0,13891
472,472,0,1,0,10530
473,473,0,1,0,3059
474,474,0,1,0,4136
475,475,0,1,0,11689
476,476,0,1,0,13492
477,477,0,1,0,6795
478,478,0,1,0,2147
479,479,0,1,0,7499
480,480,0,1,0,13689
481,481,0,1,0,11188
482,482,0,1,0,3516
483,483,0,1,0,3609
484,484,0,1,0,11078
485,485,0,1,0,13733
486,486,0,1,0,7566
487,487,0,1,0,2141
488,488,0,1,0,6769
489,489,0,1,0,13434
490,490,0,1,0,11779
491,491,0,1,0,4046
492,492,0,1,0,3135
493,493,0,1,0,10417
494,494,0,1,0,13880
495,495,0,1,0,8332
496,496,0,1,0,2230
497,497,0,1,0,6068
498,498,0,1,0,13123
499,499,0,1,0,12344
500,500,0,1,0,4673
501,501,0,1,0,2763
502,502,0,1,0,9742
503,503,0,1,0,13957
504,504,0,1,0,9105
505,505,0,1,0,2428
506,506,0,1,0,5362
507,507,0,1,0,12709
508,508,0,1,0,12789
509,509,0,1,0,5330
510,510,0,1,0,2482
511,511,0,1,0,9006
512,512,0,1,0,13959
513,513,0,1,0,9849
514,514,0,1,0,2702
515,515,0,1,0,4729
516,516,0,1,0,12214
517,517,0,1,0,13195
518,518,0,1,0,6047
519,519,0,1,0,2280
520,520,0,1,0,8246
521,521,0,1,0,13868
522,522,0,1,0,10548
523,523,0,1,0,3069
524,524,0,1,0,4121
525,525,0,1,0,11676
526,526,0,1,0,13504
527,527,0,1,0,6807
528,528,0,1,0,2172
529,529,0,1,0,7498
530,530,0,1,0,13700
531,531,0,1,0,11206
532,532,0,1,0,3521
533,533,0,1,0,3588
534,534,0,1,0,11051
535,535,0,1,0,13731
536,536,0,1,0,7585
537,537,0,1,0,2153
538,538,0,1,0,6748
539,539,0,1,0,13412
540,540,0,1,0,11812
541,541,0,1,0,4067
542,542,0,1,0,3133
543,543,0,1,0,10407
544,544,0,1,0,13889
545,545,0,1,0,8366
546,546,0,1,0,2238
547,547,0,1,0,6038
548,548,0,1,0,13085
549,549,0,1,0,12339
550,550,0,1,0,4701
551,551,0,1,0,2757
552,552,0,1,0,9702
553,553,0,1,0,13957
554,554,0,1,0,9135
555,555,0,1,0,2432
556,556,0,1,0,5356
557,557,0,1,0,12683
