Sample in Buffer,Sample in Window,TRIGGER,block_design_i/system_ila_ad_if/inst/probe0_1[13:0],block_design_i/system_ila_ad_if/inst/probe1_1,block_design_i/system_ila_ad_if/inst/probe2_1[13:0],block_design_i/system_ila_ad_if/inst/probe3_1[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,HEX,SIGNED,HEX
2956,2956,0,-7487,1,3321,00000001
2957,2957,0,3321,1,-7535,00000001
2958,2958,0,-7535,1,-4840,00000001
2959,2959,0,-4840,1,-7488,00000001
2960,2960,0,-7488,1,3321,00000001
2961,2961,0,3321,1,-7532,00000001
2962,2962,0,-7532,1,-4845,00000001
2963,2963,0,-4845,1,-7488,00000001
2964,2964,0,-7488,1,3324,00000001
2965,2965,0,3324,1,-7531,00000001
2966,2966,0,-7531,1,-4838,00000001
2967,2967,0,-4838,1,-7492,00000001
2968,2968,0,-7492,1,3324,00000001
2969,2969,0,3324,1,-7533,00000001
2970,2970,0,-7533,1,-4843,00000001
2971,2971,0,-4843,1,-7489,00000001
2972,2972,0,-7489,1,3324,00000001
2973,2973,0,3324,1,-7535,00000001
2974,2974,0,-7535,1,-4837,00000001
2975,2975,0,-4837,1,-7485,00000001
2976,2976,0,-7485,1,3322,00000001
2977,2977,0,3322,1,-7537,00000001
2978,2978,0,-7537,1,-4839,00000001
2979,2979,0,-4839,1,-7487,00000001
2980,2980,0,-7487,1,3323,00000001
2981,2981,0,3323,1,-7542,00000001
2982,2982,0,-7542,1,-4840,00000001
2983,2983,0,-4840,1,-7480,00000001
2984,2984,0,-7480,1,3322,00000001
2985,2985,0,3322,1,-7555,00000001
2986,2986,0,-7555,1,-4843,00000001
2987,2987,0,-4843,1,-7469,00000001
2988,2988,0,-7469,1,3319,00000001
2989,2989,0,3319,1,-7548,00000001
2990,2990,0,-7548,1,-4840,00000001
2991,2991,0,-4840,1,-7464,00000001
2992,2992,0,-7464,1,3317,00000001
2993,2993,0,3317,1,-7557,00000001
2994,2994,0,-7557,1,-4841,00000001
2995,2995,0,-4841,1,-7461,00000001
2996,2996,0,-7461,1,3313,00000001
2997,2997,0,3313,1,-7562,00000001
2998,2998,0,-7562,1,-4843,00000001
2999,2999,0,-4843,1,-7452,00000001
3000,3000,0,-7452,1,3319,00000001
3001,3001,0,3319,1,-7571,00000001
3002,3002,0,-7571,1,-4844,00000001
3003,3003,0,-4844,1,-7445,00000001
3004,3004,0,-7445,1,3314,00000001
3005,3005,0,3314,1,-7568,00000001
3006,3006,0,-7568,1,-4842,00000001
3007,3007,0,-4842,1,-7439,00000001
3008,3008,0,-7439,1,3312,00000001
3009,3009,0,3312,1,-7578,00000001
3010,3010,0,-7578,1,-4841,00000001
3011,3011,0,-4841,1,-7435,00000001
3012,3012,0,-7435,1,3311,00000001
3013,3013,0,3311,1,-7576,00000001
3014,3014,0,-7576,1,-4844,00000001
3015,3015,0,-4844,1,-7436,00000001
3016,3016,0,-7436,1,3310,00000001
3017,3017,0,3310,1,-7578,00000001
3018,3018,0,-7578,1,-4844,00000001
3019,3019,0,-4844,1,-7437,00000001
3020,3020,0,-7437,1,3309,00000001
3021,3021,0,3309,1,-7574,00000001
3022,3022,0,-7574,1,-4841,00000001
3023,3023,0,-4841,1,-7448,00000001
3024,3024,0,-7448,1,3315,00000001
3025,3025,0,3315,1,-7567,00000001
3026,3026,0,-7567,1,-4841,00000001
3027,3027,0,-4841,1,-7450,00000001
3028,3028,0,-7450,1,3313,00000001
