Sample in Buffer,Sample in Window,TRIGGER,block_design_i/system_ila_1/inst/probe0_1,block_design_i/system_ila_1/inst/probe1_1,block_design_i/system_ila_1/inst/probe2_1[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,UNSIGNED
699,699,0,1,0,9508
700,700,0,0,0,5948
701,701,0,1,0,4924
702,702,0,0,0,15199
703,703,0,1,0,15199
704,704,0,0,0,15384
705,705,0,1,0,13336
706,706,0,0,0,6067
707,707,0,1,0,6067
708,708,0,0,0,9522
709,709,0,1,0,9522
710,710,0,0,0,5956
711,711,0,1,0,4932
712,712,0,0,0,15216
713,713,0,1,0,15216
714,714,0,0,0,15407
715,715,0,1,0,13359
716,716,0,0,0,6082
717,717,0,1,0,6082
718,718,0,0,0,9518
719,719,0,1,0,9518
720,720,0,0,0,5919
721,721,0,1,0,4895
722,722,0,0,0,15195
723,723,0,1,0,15195
724,724,0,0,0,15403
725,725,0,1,0,13355
726,726,0,0,0,6074
727,727,0,1,0,6074
728,728,0,0,0,9527
729,729,0,1,0,9527
730,730,0,0,0,5903
731,731,0,1,0,4879
732,732,0,0,0,15209
733,733,0,1,0,15209
734,734,0,0,0,15373
735,735,0,1,0,13325
736,736,0,0,0,6086
737,737,0,1,0,6086
738,738,0,0,0,9544
739,739,0,1,0,9544
740,740,0,0,0,5944
741,741,0,1,0,4920
742,742,0,0,0,15215
743,743,0,1,0,15215
744,744,0,0,0,15416
745,745,0,1,0,13368
746,746,0,0,0,6072
747,747,0,1,0,6072
748,748,0,0,0,9500
749,749,0,1,0,9500
750,750,0,0,0,5925
751,751,0,1,0,4901
752,752,0,0,0,15223
753,753,0,1,0,15223
754,754,0,0,0,15403
755,755,0,1,0,13355
756,756,0,0,0,6057
757,757,0,1,0,6057
758,758,0,0,0,9518
759,759,0,1,0,9518
760,760,0,0,0,5956
761,761,0,1,0,4932
762,762,0,0,0,15190
763,763,0,1,0,15190
764,764,0,0,0,15388
765,765,0,1,0,13340
766,766,0,0,0,6053
767,767,0,1,0,6053
768,768,0,0,0,9542
769,769,0,1,0,9542
770,770,0,0,0,5916
771,771,0,1,0,4892
772,772,0,0,0,15231
773,773,0,1,0,15231
774,774,0,0,0,15411
775,775,0,1,0,13363
776,776,0,0,0,6079
777,777,0,1,0,6079
778,778,0,0,0,9526
779,779,0,1,0,9526
780,780,0,0,0,5896
781,781,0,1,0,4872
782,782,0,0,0,15189
783,783,0,1,0,15189
784,784,0,0,0,15388
785,785,0,1,0,13340
786,786,0,0,0,6085
787,787,0,1,0,6085
788,788,0,0,0,9532
789,789,0,1,0,9532
790,790,0,0,0,5951
791,791,0,1,0,4927
792,792,0,0,0,15215
793,793,0,1,0,15215
794,794,0,0,0,15417
795,795,0,1,0,13369
796,796,0,0,0,6071
797,797,0,1,0,6071
798,798,0,0,0,9542
799,799,0,1,0,9542
800,800,0,0,0,5922
801,801,0,1,0,4898
802,802,0,0,0,15205
803,803,0,1,0,15205
804,804,0,0,0,15390
805,805,0,1,0,13342
806,806,0,0,0,6079
807,807,0,1,0,6079
808,808,0,0,0,9511
809,809,0,1,0,9511
810,810,0,0,0,5941
811,811,0,1,0,4917
812,812,0,0,0,15193
813,813,0,1,0,15193
814,814,0,0,0,15402
815,815,0,1,0,13354
816,816,0,0,0,6036
817,817,0,1,0,6036
818,818,0,0,0,9544
819,819,0,1,0,9544
820,820,0,0,0,5940
821,821,0,1,0,4916
822,822,0,0,0,15203
823,823,0,1,0,15203
824,824,0,0,0,15419
825,825,0,1,0,13371
826,826,0,0,0,6091
827,827,0,1,0,6091
828,828,0,0,0,9522
829,829,0,1,0,9522
830,830,0,0,0,5942
831,831,0,1,0,4918
832,832,0,0,0,15225
833,833,0,1,0,15225
834,834,0,0,0,15401
835,835,0,1,0,13353
836,836,0,0,0,6063
837,837,0,1,0,6063
838,838,0,0,0,9553
839,839,0,1,0,9553
840,840,0,0,0,5931
841,841,0,1,0,4907
842,842,0,0,0,15206
843,843,0,1,0,15206
844,844,0,0,0,15400
845,845,0,1,0,13352
846,846,0,0,0,6071
847,847,0,1,0,6071
848,848,0,0,0,9558
849,849,0,1,0,9558
850,850,0,0,0,5956
851,851,0,1,0,4932
852,852,0,0,0,15224
853,853,0,1,0,15224
854,854,0,0,0,15381
855,855,0,1,0,13333
856,856,0,0,0,6070
857,857,0,1,0,6070
858,858,0,0,0,9521
859,859,0,1,0,9521
860,860,0,0,0,5915
861,861,0,1,0,4891
862,862,0,0,0,15197
863,863,0,1,0,15197
864,864,0,0,0,15395
865,865,0,1,0,13347
866,866,0,0,0,6052
867,867,0,1,0,6052
868,868,0,0,0,9553
869,869,0,1,0,9553
870,870,0,0,0,5911
871,871,0,1,0,4887
872,872,0,0,0,15210
873,873,0,1,0,15210
874,874,0,0,0,15419
875,875,0,1,0,13371
876,876,0,0,0,6083
877,877,0,1,0,6083
878,878,0,0,0,9526
879,879,0,1,0,9526
880,880,0,0,0,5897
881,881,0,1,0,4873
882,882,0,0,0,15238
883,883,0,1,0,15238
884,884,0,0,0,15358
885,885,0,1,0,13310
886,886,0,0,0,6065
887,887,0,1,0,6065
888,888,0,0,0,9528
889,889,0,1,0,9528
890,890,0,0,0,5929
891,891,0,1,0,4905
892,892,0,0,0,15233
893,893,0,1,0,15233
894,894,0,0,0,15370
895,895,0,1,0,13322
896,896,0,0,0,6075
897,897,0,1,0,6075
898,898,0,0,0,9522
899,899,0,1,0,9522
900,900,0,0,0,5899
901,901,0,1,0,4875
902,902,0,0,0,15212
903,903,0,1,0,15212
904,904,0,0,0,15390
905,905,0,1,0,13342
906,906,0,0,0,6077
907,907,0,1,0,6077
908,908,0,0,0,9549
909,909,0,1,0,9549
910,910,0,0,0,5925
911,911,0,1,0,4901
912,912,0,0,0,15199
913,913,0,1,0,15199
914,914,0,0,0,15357
915,915,0,1,0,13309
916,916,0,0,0,6079
917,917,0,1,0,6079
918,918,0,0,0,9530
919,919,0,1,0,9530
920,920,0,0,0,5907
921,921,0,1,0,4883
922,922,0,0,0,15205
923,923,0,1,0,15205
924,924,0,0,0,15373
925,925,0,1,0,13325
926,926,0,0,0,6049
927,927,0,1,0,6049
928,928,0,0,0,9513
929,929,0,1,0,9513
930,930,0,0,0,5940
931,931,0,1,0,4916
932,932,0,0,0,15230
933,933,0,1,0,15230
934,934,0,0,0,15393
935,935,0,1,0,13345
936,936,0,0,0,6069
937,937,0,1,0,6069
938,938,0,0,0,9528
939,939,0,1,0,9528
940,940,0,0,0,5902
