Sample in Buffer,Sample in Window,TRIGGER,block_design_i/system_ila_1/inst/probe0_1,block_design_i/system_ila_1/inst/probe1_1,block_design_i/system_ila_1/inst/probe2_1[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,SIGNED
600,600,0,0,0,-3297
601,601,0,0,0,4703
602,602,0,0,0,-5720
603,603,0,0,0,6394
604,604,0,0,0,-4697
605,605,0,0,0,6546
606,606,0,0,0,-6091
607,607,0,0,0,7126
608,608,0,0,0,-3921
609,609,0,0,0,2382
610,610,0,0,0,-737
611,611,0,0,0,-930
612,612,0,0,0,3639
613,613,0,0,0,-1953
614,614,0,0,0,5259
615,615,0,0,0,-5095
616,616,0,0,0,6570
617,617,0,0,0,-4676
618,618,0,0,0,6287
619,619,0,0,0,-5665
620,620,0,0,0,6556
621,621,0,0,0,-3181
622,622,0,0,0,1589
623,623,0,0,0,1139
624,624,0,0,0,-1763
625,625,0,0,0,3364
626,626,0,0,0,-4669
627,627,0,0,0,7785
628,628,0,0,0,-6451
629,629,0,0,0,7690
630,630,0,0,0,-4577
631,631,0,0,0,6001
632,632,0,0,0,-4138
633,633,0,0,0,3851
634,634,0,0,0,-358
635,635,0,0,0,747
636,636,0,0,0,967
637,637,0,0,0,-2556
638,638,0,0,0,4067
639,639,0,0,0,-4209
640,640,0,0,0,8157
641,641,0,0,0,-6633
642,642,0,0,0,7660
643,643,0,0,0,-4347
644,644,0,0,0,5555
645,645,0,0,0,-4571
646,646,0,0,0,3138
647,647,0,0,0,-572
648,648,0,0,0,-96
649,649,0,0,0,3862
650,650,0,0,0,-3322
651,651,0,0,0,4707
652,652,0,0,0,-5732
653,653,0,0,0,6414
654,654,0,0,0,-4711
655,655,0,0,0,6522
656,656,0,0,0,-6090
657,657,0,0,0,7121
658,658,0,0,0,-3909
659,659,0,0,0,2379
660,660,0,0,0,-738
661,661,0,0,0,-937
662,662,0,0,0,3636
663,663,0,0,0,-1988
664,664,0,0,0,5239
665,665,0,0,0,-5087
666,666,0,0,0,6586
667,667,0,0,0,-4682
668,668,0,0,0,6286
669,669,0,0,0,-5663
670,670,0,0,0,6528
671,671,0,0,0,-3173
672,672,0,0,0,1566
673,673,0,0,0,111
674,674,0,0,0,-1760
675,675,0,0,0,3388
676,676,0,0,0,-4701
677,677,0,0,0,7791
678,678,0,0,0,-6416
679,679,0,0,0,7675
680,680,0,0,0,-4574
681,681,0,0,0,5968
682,682,0,0,0,-4132
683,683,0,0,0,3843
684,684,0,0,0,-352
685,685,0,0,0,732
686,686,0,0,0,997
687,687,0,0,0,-2566
688,688,0,0,0,4083
689,689,0,0,0,-4215
690,690,0,0,0,8172
691,691,0,0,0,-6647
692,692,0,0,0,7659
693,693,0,0,0,-4345
694,694,0,0,0,5567
695,695,0,0,0,-4558
696,696,0,0,0,3115
697,697,0,0,0,-548
698,698,0,0,0,-90
699,699,0,0,0,3863
700,700,0,0,0,-3314
701,701,0,0,0,4713
702,702,0,0,0,-5738
703,703,0,0,0,6404
704,704,0,0,0,-4692
705,705,0,0,0,6522
706,706,0,0,0,-6078
707,707,0,0,0,7112
708,708,0,0,0,-3913
709,709,0,0,0,2361
710,710,0,0,0,-725
711,711,0,0,0,-955
712,712,0,0,0,3667
713,713,0,0,0,-1998
714,714,0,0,0,5260
715,715,0,0,0,-5098
716,716,0,0,0,6583
717,717,0,0,0,-4683
718,718,0,0,0,6302
