Sample in Buffer,Sample in Window,TRIGGER,block_design_i/system_ila_1/inst/probe0_1,block_design_i/system_ila_1/inst/probe1_1,block_design_i/system_ila_1/inst/probe2_1[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,UNSIGNED
573,573,0,0,0,7800
574,574,0,0,0,10428
575,575,0,0,0,14192
576,576,0,0,0,15657
577,577,0,0,0,14375
578,578,0,0,0,10630
579,579,0,0,0,7979
580,580,0,0,0,2091
581,581,0,0,0,666
582,582,0,0,0,2069
583,583,0,0,0,5760
584,584,0,0,0,10399
585,585,0,0,0,14182
586,586,0,0,0,15671
587,587,0,0,0,14376
588,588,0,0,0,10645
589,589,0,0,0,7959
590,590,0,0,0,2087
591,591,0,0,0,665
592,592,0,0,0,2058
593,593,0,0,0,7805
594,594,0,0,0,10417
595,595,0,0,0,14187
596,596,0,0,0,15668
597,597,0,0,0,14392
598,598,0,0,0,10636
599,599,0,0,0,7938
600,600,0,0,0,2074
601,601,0,0,0,628
602,602,0,0,0,2067
603,603,0,0,0,7812
604,604,0,0,0,10394
605,605,0,0,0,14196
606,606,0,0,0,15684
607,607,0,0,0,14376
608,608,0,0,0,10647
609,609,0,0,0,7945
610,610,0,0,0,2085
611,611,0,0,0,641
612,612,0,0,0,2039
613,613,0,0,0,5744
614,614,0,0,0,10406
615,615,0,0,0,14183
616,616,0,0,0,15686
617,617,0,0,0,14377
618,618,0,0,0,10633
619,619,0,0,0,7952
620,620,0,0,0,2090
621,621,0,0,0,683
622,622,0,0,0,2057
623,623,0,0,0,5759
624,624,0,0,0,10401
625,625,0,0,0,14212
626,626,0,0,0,15660
627,627,0,0,0,14386
628,628,0,0,0,10653
629,629,0,0,0,7936
630,630,0,0,0,2100
631,631,0,0,0,669
632,632,0,0,0,2045
633,633,0,0,0,5756
634,634,0,0,0,10396
635,635,0,0,0,14197
636,636,0,0,0,15687
637,637,0,0,0,14375
638,638,0,0,0,10659
639,639,0,0,0,7965
640,640,0,0,0,2091
641,641,0,0,0,665
642,642,0,0,0,2066
643,643,0,0,0,5755
644,644,0,0,0,10404
645,645,0,0,0,14200
646,646,0,0,0,15689
647,647,0,0,0,14385
648,648,0,0,0,10658
649,649,0,0,0,7970
650,650,0,0,0,2097
651,651,0,0,0,672
652,652,0,0,0,2057
653,653,0,0,0,5756
654,654,0,0,0,10392
655,655,0,0,0,14189
656,656,0,0,0,15681
657,657,0,0,0,14369
658,658,0,0,0,10665
659,659,0,0,0,7971
660,660,0,0,0,2101
661,661,0,0,0,661
662,662,0,0,0,2066
663,663,0,0,0,5746
664,664,0,0,0,10412
665,665,0,0,0,14257
666,666,0,0,0,15708
667,667,0,0,0,14387
668,668,0,0,0,10660
669,669,0,0,0,7964
670,670,0,0,0,2103
671,671,0,0,0,668
672,672,0,0,0,2052
673,673,0,0,0,5732
674,674,0,0,0,10401
675,675,0,0,0,14194
676,676,0,0,0,15661
677,677,0,0,0,14363
678,678,0,0,0,10650
679,679,0,0,0,7948
680,680,0,0,0,2086
681,681,0,0,0,631
682,682,0,0,0,2027
683,683,0,0,0,5738
684,684,0,0,0,10380
685,685,0,0,0,14190
